mag_z,gyro_y,gyro_x,mag_y,gyro_z,mag_x,accel_y,accel_x,accel_z,time
85.25,0.005555555555555556,-0.0044444444444444444,-47.75,-0.0011111111111111111,-30.0625,-2.66,2.62,9.17,2877.826632406
84.5,-0.0022222222222222222,0.0011111111111111111,-47.75,0.0,-30.375,-2.67,2.64,9.1,2877.892532909
82.1875,0.0,0.0022222222222222222,-47.75,0.0,-30.375,-2.67,2.64,9.12,2877.942198025
83.25,-0.0033333333333333335,0.0011111111111111111,-47.375,-0.0022222222222222222,-30.375,-2.69,2.64,9.12,2877.992286107
83.25,0.0011111111111111111,0.0,-48.5,0.0,-30.375,-2.69,2.62,9.08,2878.052557941
83.6875,-0.0011111111111111111,0.0,-47.75,-0.0011111111111111111,-30.0625,-2.69,2.65,9.1,2878.097597247
82.0625,-0.0022222222222222222,0.0011111111111111111,-47.375,0.0,-30.375,-2.69,2.62,9.08,2878.143207331
82.5,-0.0022222222222222222,0.0011111111111111111,-48.1875,-0.0011111111111111111,-30.375,-2.67,2.64,9.12,2878.193372236
83.25,-0.0033333333333333335,0.0,-47.375,-0.0033333333333333335,-30.0625,-2.67,2.63,9.11,2878.243597245
83.6875,-0.0011111111111111111,0.0,-47.375,-0.0011111111111111111,-29.6875,-2.69,2.62,9.08,2878.298892176
83.6875,-0.0033333333333333335,-0.0011111111111111111,-48.5,-0.0011111111111111111,-30.375,-2.67,2.62,9.08,2878.349399372
83.6875,-0.0044444444444444444,0.0033333333333333335,-47.75,0.0,-29.25,-2.68,2.64,9.12,2878.39469852
83.25,-0.0011111111111111111,0.0011111111111111111,-48.1875,-0.0022222222222222222,-30.375,-2.67,2.65,9.09,2878.434133583
83.25,0.0,0.0,-48.1875,-0.0022222222222222222,-30.375,-2.67,2.66,9.08,2878.482406101
83.25,-0.0022222222222222222,0.0022222222222222222,-47.75,-0.0022222222222222222,-30.375,-2.69,2.63,9.12,2878.527164471
84.0625,-0.0044444444444444444,0.0,-47.75,0.0,-30.375,-2.68,2.63,9.14,2878.565458654
83.6875,-0.0022222222222222222,0.0033333333333333335,-47.0,-0.0022222222222222222,-31.1875,-2.7,2.63,9.12,2878.630796556
83.25,-0.0033333333333333335,0.0,-47.75,0.0,-30.0625,-2.67,2.63,9.1,2878.671155261
84.0625,0.0033333333333333335,0.0011111111111111111,-47.75,-0.0011111111111111111,-30.375,-2.65,2.64,9.1,2878.713888849
83.6875,-0.0033333333333333335,-0.0022222222222222222,-47.375,0.0011111111111111111,-30.375,-2.67,2.64,9.1,2878.753354901
83.6875,0.0,-0.0022222222222222222,-48.1875,0.0011111111111111111,-30.75,-2.68,2.65,9.11,2878.79288611
83.6875,0.0033333333333333335,-0.0033333333333333335,-48.1875,0.0022222222222222222,-30.75,-2.66,2.64,9.09,2878.832303673
83.25,-0.0011111111111111111,-0.0011111111111111111,-48.5,0.0011111111111111111,-30.0625,-2.68,2.64,9.11,2878.872239879
84.0625,0.0011111111111111111,-0.0033333333333333335,-48.1875,0.0011111111111111111,-29.6875,-2.69,2.63,9.14,2878.915014509
83.25,-0.0022222222222222222,0.0011111111111111111,-48.5,0.0011111111111111111,-30.375,-2.68,2.65,9.12,2878.969766474
83.6875,-0.0033333333333333335,-0.0022222222222222222,-47.75,-0.0011111111111111111,-30.0625,-2.68,2.65,9.09,2879.030915282
84.0625,-0.0011111111111111111,0.0011111111111111111,-47.375,0.0,-30.0625,-2.67,2.65,9.1,2879.092604922
84.0625,0.0033333333333333335,0.0,-47.375,0.0011111111111111111,-30.0625,-2.69,2.65,9.11,2879.133685445
83.6875,0.0022222222222222222,0.0,-47.375,0.0,-30.375,-2.69,2.63,9.1,2879.189253292
83.6875,0.0,-0.0011111111111111111,-48.1875,0.0011111111111111111,-30.75,-2.68,2.61,9.11,2879.23403312
84.5,0.0044444444444444444,-0.0022222222222222222,-47.75,0.0,-30.0625,-2.65,2.64,9.11,2879.27456375
84.5,0.0011111111111111111,0.0044444444444444444,-47.75,0.0011111111111111111,-30.75,-2.68,2.65,9.12,2879.327597131
82.875,-0.0033333333333333335,0.0,-48.1875,-0.0011111111111111111,-29.6875,-2.68,2.67,9.11,2879.377798077
84.1875,0.0022222222222222222,-0.0022222222222222222,-47.375,-0.0033333333333333335,-30.75,-2.69,2.64,9.12,2879.427988555
83.25,0.0,-0.0011111111111111111,-47.75,0.0022222222222222222,-30.0625,-2.67,2.63,9.1,2879.478313147
83.6875,-0.005555555555555556,0.005555555555555556,-48.5,0.0044444444444444444,-30.0625,-2.68,2.62,9.09,2879.533911566
83.25,0.0,0.0,-47.0,0.0022222222222222222,-30.375,-2.67,2.65,9.14,2879.581372995
83.6875,0.0022222222222222222,-0.0011111111111111111,-47.75,0.0,-30.75,-2.65,2.64,9.1,2879.630970351
83.6875,-0.0022222222222222222,0.0,-48.1875,0.0022222222222222222,-30.0625,-2.67,2.63,9.07,2879.682268636
83.6875,0.0077777777777777776,-0.0033333333333333335,-47.75,-0.0022222222222222222,-30.0625,-2.65,2.66,9.13,2879.722025156
83.25,0.0022222222222222222,0.0,-48.1875,-0.0022222222222222222,-30.375,-2.69,2.62,9.11,2879.767028629
83.25,0.0,0.0011111111111111111,-48.5,0.0011111111111111111,-30.375,-2.68,2.65,9.1,2879.807575769
84.5,0.0011111111111111111,0.0,-47.75,-0.0011111111111111111,-30.0625,-2.68,2.66,9.1,2879.868263018
82.875,0.0,-0.0022222222222222222,-47.75,-0.0022222222222222222,-30.375,-2.69,2.63,9.12,2879.903010917
83.25,0.0011111111111111111,-0.0033333333333333335,-47.0,0.0011111111111111111,-30.375,-2.68,2.64,9.11,2879.949148134
83.25,-0.0011111111111111111,-0.005555555555555556,-47.0,-0.0022222222222222222,-30.375,-2.68,2.63,9.13,2879.998836479
83.6875,0.0033333333333333335,-0.0022222222222222222,-47.375,-0.0044444444444444444,-30.375,-2.67,2.64,9.12,2880.044199637
82.875,0.0033333333333333335,0.0,-47.0,0.0011111111111111111,-30.375,-2.69,2.6,9.09,2880.093800014
84.0625,0.0022222222222222222,-0.0033333333333333335,-47.375,0.0011111111111111111,-30.375,-2.69,2.67,9.09,2880.142763362
82.875,0.005555555555555556,0.0011111111111111111,-47.75,-0.0011111111111111111,-30.375,-2.64,2.71,9.07,2880.185917417
84.875,0.0033333333333333335,0.0,-47.0,-0.005555555555555556,-30.375,-2.67,2.62,9.14,2880.239408504
84.0625,0.0033333333333333335,0.0033333333333333335,-47.375,-0.0011111111111111111,-30.75,-2.66,2.63,9.1,2880.305652182
84.875,-0.0077777777777777776,0.01,-47.375,-0.0022222222222222222,-30.75,-2.68,2.62,9.11,2880.35413444
84.875,-0.03111111111111111,0.056666666666666664,-47.375,-0.012222222222222223,-30.75,-2.78,2.9,9.63,2880.392180135
82.875,0.016666666666666666,-0.06555555555555556,-47.375,-0.02,-30.75,-2.67,2.66,9.91,2880.430886555
83.6875,0.008888888888888889,-0.006666666666666667,-47.375,0.0044444444444444444,-29.6875,-2.69,2.67,8.97,2880.472018641
83.25,0.027777777777777776,-0.0033333333333333335,-47.375,-0.015555555555555555,-30.0625,-2.66,2.75,9.15,2880.520131369
83.25,-0.01,-0.0022222222222222222,-48.1875,0.0022222222222222222,-30.75,-2.67,2.56,9.28,2880.561946472
84.5,-0.02666666666666667,0.06111111111111111,-48.1875,0.0077777777777777776,-30.375,-2.66,2.75,8.77,2880.617630152
83.25,0.0011111111111111111,0.0022222222222222222,-48.1875,-0.005555555555555556,-30.75,-2.83,2.54,9.06,2880.672286649
83.6875,0.0033333333333333335,-0.016666666666666666,-47.75,-0.0033333333333333335,-30.375,-2.69,2.65,9.1,2880.723004989
83.25,0.01,-0.0077777777777777776,-47.375,-0.0033333333333333335,-30.375,-2.67,2.69,9.13,2880.778438514
83.25,-0.0033333333333333335,-0.0022222222222222222,-48.1875,0.0022222222222222222,-30.75,-2.69,2.62,9.11,2880.828051755
82.875,-0.0044444444444444444,-0.0044444444444444444,-47.375,0.0044444444444444444,-30.375,-2.64,2.69,9.13,2880.892738723
82.5,0.0044444444444444444,0.0022222222222222222,-47.0,0.0022222222222222222,-30.375,-2.66,2.64,9.13,2880.934002735
82.875,0.0033333333333333335,0.0044444444444444444,-48.1875,0.0,-30.375,-2.65,2.64,9.15,2880.977996786
83.6875,-0.01,0.013333333333333334,-47.75,0.005555555555555556,-30.375,-2.68,2.63,9.06,2881.017692785
83.25,-0.005555555555555556,0.0011111111111111111,-47.0,0.0011111111111111111,-29.6875,-2.67,2.67,9.09,2881.057255399
83.25,0.0011111111111111111,-0.0022222222222222222,-47.0,-0.0011111111111111111,-29.6875,-2.69,2.67,9.06,2881.091879809
82.875,0.0022222222222222222,-0.0044444444444444444,-47.75,0.0,-30.0625,-2.68,2.64,9.08,2881.135122301
82.875,0.0022222222222222222,-0.006666666666666667,-47.75,0.0,-29.6875,-2.65,2.64,9.12,2881.173190184
84.1875,0.0022222222222222222,-0.008888888888888889,-47.0,0.0022222222222222222,-30.375,-2.62,2.65,9.14,2881.215668513
83.6875,-0.0022222222222222222,0.0022222222222222222,-48.5,0.0044444444444444444,-30.75,-2.66,2.63,9.14,2881.26082511
83.6875,-0.006666666666666667,0.006666666666666667,-48.5,0.0011111111111111111,-30.75,-2.66,2.62,9.13,2881.305408636
82.875,0.0022222222222222222,0.0044444444444444444,-47.75,-0.0011111111111111111,-30.0625,-2.65,2.67,9.09,2881.346372494
84.1875,-0.0011111111111111111,0.005555555555555556,-47.75,0.0,-30.0625,-2.65,2.65,9.12,2881.386756198
83.6875,0.0022222222222222222,0.0011111111111111111,-47.375,0.0011111111111111111,-30.375,-2.68,2.67,9.1,2881.429380516
84.0625,0.0,-0.0011111111111111111,-47.75,0.0,-30.375,-2.69,2.64,9.07,2881.482046815
83.6875,0.0022222222222222222,-0.0022222222222222222,-47.75,0.0,-30.375,-2.66,2.65,9.09,2881.53704029
82.875,0.0033333333333333335,-0.0011111111111111111,-48.1875,0.0022222222222222222,-30.375,-2.68,2.67,9.11,2881.590416168
82.5,-0.0011111111111111111,-0.0044444444444444444,-48.1875,-0.0011111111111111111,-30.0625,-2.69,2.63,9.09,2881.640689354
82.875,-0.0011111111111111111,0.0022222222222222222,-47.75,0.0,-29.6875,-2.69,2.65,9.12,2881.685946055
83.25,0.0033333333333333335,0.0011111111111111111,-47.375,0.0,-30.375,-2.67,2.66,9.09,2881.731017652
83.6875,0.0022222222222222222,0.0044444444444444444,-47.75,-0.0011111111111111111,-30.75,-2.69,2.64,9.09,2881.785731024
82.875,-0.0033333333333333335,0.0011111111111111111,-47.75,0.0011111111111111111,-30.375,-2.67,2.66,9.11,2881.840831165
83.25,0.0022222222222222222,0.0011111111111111111,-47.75,0.0011111111111111111,-30.75,-2.65,2.65,9.11,2881.892222679
82.5,-0.0033333333333333335,-0.0011111111111111111,-47.75,0.0033333333333333335,-30.375,-2.66,2.64,9.11,2881.937230058
82.875,-0.0022222222222222222,0.0022222222222222222,-47.75,0.0,-29.6875,-2.67,2.65,9.11,2881.98969792
83.6875,0.0011111111111111111,-0.0011111111111111111,-47.75,0.0011111111111111111,-30.375,-2.67,2.65,9.09,2882.032802392
83.25,0.0,-0.0011111111111111111,-48.5,0.0011111111111111111,-30.375,-2.65,2.62,9.1,2882.097724358
83.25,0.0,0.0022222222222222222,-47.375,0.0011111111111111111,-30.0625,-2.69,2.65,9.12,2882.140839872
83.25,0.0011111111111111111,0.0,-48.1875,-0.0022222222222222222,-30.75,-2.68,2.66,9.09,2882.194347833
82.875,0.0022222222222222222,-0.0011111111111111111,-47.75,0.0,-30.0625,-2.66,2.66,9.12,2882.244028887
83.25,0.0011111111111111111,0.0011111111111111111,-48.1875,0.0011111111111111111,-30.0625,-2.66,2.64,9.09,2882.284160457
83.0,-0.0011111111111111111,-0.0022222222222222222,-48.5,0.0,-30.375,-2.66,2.64,9.09,2882.323567759
84.5,0.0022222222222222222,-0.0022222222222222222,-47.75,0.0011111111111111111,-30.0625,-2.68,2.65,9.06,2882.362930948
84.5,0.0022222222222222222,0.0022222222222222222,-47.75,0.0011111111111111111,-30.0625,-2.68,2.65,9.11,2882.402377677
83.6875,-0.0022222222222222222,0.0,-48.1875,0.0,-29.6875,-2.69,2.65,9.11,2882.442689507
83.6875,-0.0011111111111111111,0.0022222222222222222,-47.0,-0.0011111111111111111,-29.6875,-2.67,2.66,9.1,2882.496477207
83.25,0.0022222222222222222,0.0,-47.75,0.0,-30.375,-2.69,2.64,9.08,2882.530862503
82.5,-0.0044444444444444444,0.0033333333333333335,-47.75,0.0011111111111111111,-30.0625,-2.68,2.63,9.1,2882.573263593
83.6875,-0.0011111111111111111,0.0011111111111111111,-48.1875,0.0011111111111111111,-30.75,-2.67,2.63,9.09,2882.613483652
83.6875,-0.0022222222222222222,0.0,-48.1875,0.0,-30.75,-2.66,2.64,9.15,2882.666139326
83.25,-0.0011111111111111111,-0.0011111111111111111,-47.75,0.0,-30.375,-2.68,2.64,9.09,2882.713640859
84.1875,0.0033333333333333335,-0.0011111111111111111,-48.1875,-0.0022222222222222222,-29.6875,-2.67,2.64,9.12,2882.754162115
82.875,-0.005555555555555556,-0.0011111111111111111,-47.75,0.0,-30.375,-2.67,2.65,9.1,2882.794446028
83.6875,-0.0022222222222222222,-0.0011111111111111111,-47.375,-0.0022222222222222222,-29.25,-2.7,2.63,9.1,2882.847676334
83.0,0.0011111111111111111,-0.0011111111111111111,-48.1875,-0.0022222222222222222,-30.0625,-2.69,2.67,9.09,2882.897942229
83.6875,0.0033333333333333335,-0.0022222222222222222,-47.375,0.0,-30.75,-2.7,2.64,9.13,2882.942875285
82.5,-0.0022222222222222222,-0.005555555555555556,-48.5,0.0,-30.0625,-2.66,2.62,9.12,2882.994219351
82.875,-0.011111111111111112,0.01,-47.75,0.005555555555555556,-29.6875,-2.66,2.67,9.15,2883.033452176
84.0625,0.0,0.012222222222222223,-48.875,0.0033333333333333335,-30.0625,-2.67,2.67,9.14,2883.076330607
84.1875,-0.0044444444444444444,0.011111111111111112,-47.375,0.0011111111111111111,-30.75,-2.69,2.64,9.13,2883.111675951
84.1875,-0.0011111111111111111,0.0044444444444444444,-47.375,-0.0022222222222222222,-30.75,-2.66,2.63,9.14,2883.151144972
83.6875,0.0011111111111111111,-0.0011111111111111111,-48.875,-0.0044444444444444444,-30.375,-2.62,2.66,9.04,2883.200722172
83.6875,-0.0077777777777777776,0.011111111111111112,-47.75,0.0011111111111111111,-30.0625,-2.74,2.6,9.05,2883.24513622
83.6875,0.017777777777777778,-0.01888888888888889,-47.375,-0.005555555555555556,-30.375,-2.72,2.67,9.05,2883.307577106
82.875,0.0011111111111111111,-0.016666666666666666,-48.1875,0.0033333333333333335,-29.6875,-2.7,2.61,9.24,2883.347760915
83.6875,-0.0022222222222222222,0.0022222222222222222,-48.875,-0.0011111111111111111,-30.75,-2.67,2.68,9.13,2883.385377133
82.5,0.0022222222222222222,-0.0033333333333333335,-48.5,0.0022222222222222222,-30.0625,-2.66,2.65,9.1,2883.429393059
83.25,-0.0044444444444444444,0.0,-47.75,-0.0011111111111111111,-29.6875,-2.7,2.63,9.1,2883.48953031
84.0625,0.0011111111111111111,0.011111111111111112,-48.1875,-0.0011111111111111111,-30.75,-2.69,2.66,9.11,2883.529144851
82.5,0.0044444444444444444,0.0011111111111111111,-47.375,-0.0011111111111111111,-30.75,-2.69,2.64,9.07,2883.574048637
83.25,-0.0011111111111111111,-0.0011111111111111111,-48.1875,-0.0022222222222222222,-29.6875,-2.7,2.65,9.05,2883.613496408
83.25,0.0,-0.0022222222222222222,-48.1875,-0.0022222222222222222,-29.6875,-2.67,2.65,9.09,2883.658072227
83.25,-0.0033333333333333335,0.0022222222222222222,-48.1875,-0.0011111111111111111,-30.375,-2.66,2.64,9.1,2883.694608919
84.5,-0.006666666666666667,0.011111111111111112,-48.1875,0.0033333333333333335,-30.375,-2.65,2.63,9.1,2883.734070753
83.6875,-0.021111111111111112,0.021111111111111112,-48.1875,0.005555555555555556,-30.375,-2.69,2.66,9.16,2883.77285035
83.6875,-0.005555555555555556,0.0077777777777777776,-47.75,-0.0011111111111111111,-29.25,-2.65,2.69,9.07,2883.816120863
83.6875,0.01888888888888889,-0.008888888888888889,-47.75,-0.012222222222222223,-29.25,-2.7,2.66,9.1,2883.876989569
83.25,0.0,0.0033333333333333335,-47.75,0.0,-30.0625,-2.66,2.63,9.06,2883.916894786
83.25,0.0011111111111111111,0.0011111111111111111,-47.75,-0.0022222222222222222,-30.0625,-2.66,2.65,9.14,2883.961627166
83.25,-0.0011111111111111111,0.0,-48.5,-0.0011111111111111111,-30.375,-2.68,2.66,9.11,2884.012069258
82.5,-0.0044444444444444444,-0.0022222222222222222,-48.1875,0.0011111111111111111,-30.375,-2.68,2.64,9.08,2884.061845311
83.25,0.006666666666666667,-0.011111111111111112,-47.0,-0.0044444444444444444,-30.75,-2.69,2.61,9.06,2884.107103574
84.0625,0.0,0.008888888888888889,-48.1875,0.0011111111111111111,-30.0625,-2.64,2.69,9.24,2884.141775327
82.875,0.008888888888888889,-0.005555555555555556,-47.0,-0.0033333333333333335,-29.25,-2.7,2.61,9.1,2884.19759234
84.0625,0.0011111111111111111,-0.0044444444444444444,-47.375,-0.0022222222222222222,-31.1875,-2.7,2.61,9.07,2884.232077167
83.25,-0.015555555555555555,0.01,-47.375,0.0077777777777777776,-30.75,-2.73,2.64,9.14,2884.272871807
83.25,0.0033333333333333335,-0.0044444444444444444,-47.375,-0.0044444444444444444,-30.75,-2.66,2.69,9.16,2884.313123897
83.6875,0.0011111111111111111,0.0011111111111111111,-48.1875,0.0,-30.375,-2.71,2.62,9.05,2884.353315467
84.5,-0.012222222222222223,0.0033333333333333335,-48.1875,0.008888888888888889,-30.75,-2.68,2.63,9.19,2884.401581058
84.5,-0.006666666666666667,0.0077777777777777776,-47.375,0.0044444444444444444,-30.0625,-2.69,2.65,9.14,2884.446912134
83.6875,0.0,0.0,-47.75,0.0011111111111111111,-30.375,-2.68,2.65,9.08,2884.50819266
83.6875,-0.008888888888888889,0.0044444444444444444,-48.1875,0.0011111111111111111,-30.75,-2.65,2.66,9.1,2884.547738296
84.0625,-0.006666666666666667,0.0033333333333333335,-48.1875,-0.0011111111111111111,-30.375,-2.68,2.65,9.12,2884.582122863
83.25,-0.0022222222222222222,0.0033333333333333335,-47.75,-0.0011111111111111111,-30.375,-2.69,2.64,9.07,2884.624744161
83.25,-0.0022222222222222222,0.0033333333333333335,-47.75,0.0,-30.375,-2.7,2.63,9.1,2884.670139142
83.6875,-0.0077777777777777776,0.008888888888888889,-48.1875,0.0033333333333333335,-30.75,-2.66,2.64,9.11,2884.714630846
84.0625,-0.0033333333333333335,0.006666666666666667,-48.1875,0.0022222222222222222,-30.75,-2.66,2.64,9.1,2884.755481163
82.5,-0.0033333333333333335,0.0033333333333333335,-47.375,-0.0011111111111111111,-30.75,-2.67,2.65,9.08,2884.808590584
84.5,0.0022222222222222222,0.0,-48.5,0.0,-30.375,-2.69,2.64,9.13,2884.853530828
83.6875,0.0,-0.0011111111111111111,-47.75,-0.0011111111111111111,-30.0625,-2.67,2.63,9.09,2884.893572295
83.25,0.0022222222222222222,0.0033333333333333335,-48.5,0.0011111111111111111,-30.375,-2.66,2.63,9.11,2884.931426376
83.25,-0.0022222222222222222,0.0033333333333333335,-48.5,0.0011111111111111111,-30.375,-2.67,2.63,9.11,2884.960444929
83.6875,-0.0033333333333333335,0.005555555555555556,-48.1875,0.0011111111111111111,-30.375,-2.68,2.65,9.11,2885.015587882
83.25,0.0011111111111111111,0.0022222222222222222,-47.375,0.0,-30.0625,-2.68,2.64,9.12,2885.057135851
82.875,-0.0022222222222222222,0.0,-48.5,0.0,-31.1875,-2.68,2.63,9.12,2885.121037042
84.0625,0.0,-0.0077777777777777776,-48.1875,-0.005555555555555556,-30.75,-2.66,2.65,9.1,2885.171259291
84.0625,0.0077777777777777776,-0.01,-48.1875,-0.0011111111111111111,-30.75,-2.7,2.65,9.07,2885.215753704
82.5,0.008888888888888889,0.0,-48.875,0.0011111111111111111,-30.375,-2.52,2.68,9.21,2885.2581137
82.875,0.013333333333333334,-0.014444444444444444,-47.75,-0.0044444444444444444,-30.375,-2.72,2.58,9.08,2885.306354136
83.6875,0.0077777777777777776,0.0033333333333333335,-47.375,0.0,-31.0625,-2.65,2.69,9.1,2885.351246671
84.0625,0.011111111111111112,-0.011111111111111112,-49.25,-0.0077777777777777776,-30.375,-2.67,2.62,9.12,2885.390752672
82.875,0.008888888888888889,-0.005555555555555556,-47.0,-0.0033333333333333335,-30.375,-2.69,2.58,9.05,2885.435307397
82.875,-0.014444444444444444,0.006666666666666667,-47.0,0.0011111111111111111,-30.375,-2.65,2.69,9.18,2885.474951521
83.6875,-0.0033333333333333335,0.0044444444444444444,-48.875,0.0011111111111111111,-30.375,-2.7,2.65,9.19,2885.520526449
84.5,-0.01,0.0033333333333333335,-48.1875,0.0022222222222222222,-30.75,-2.68,2.64,9.04,2885.575395654
83.25,-0.01,0.006666666666666667,-48.5,0.0033333333333333335,-30.75,-2.67,2.66,9.16,2885.630140693
84.0625,-0.005555555555555556,0.0033333333333333335,-48.1875,0.0011111111111111111,-30.0625,-2.68,2.64,9.07,2885.697494262
82.875,0.005555555555555556,-0.005555555555555556,-47.75,-0.0044444444444444444,-30.375,-2.67,2.65,9.11,2885.746265633
83.25,0.0011111111111111111,0.0,-48.1875,-0.0033333333333333335,-30.375,-2.69,2.61,9.08,2885.785619759
83.6875,-0.0033333333333333335,0.0022222222222222222,-48.5,0.0022222222222222222,-31.1875,-2.68,2.65,9.16,2885.825002114
83.6875,-0.0011111111111111111,0.0,-48.5,0.0033333333333333335,-31.1875,-2.7,2.64,9.08,2885.870093763
84.5,0.0,-0.0033333333333333335,-48.5,-0.0011111111111111111,-30.0625,-2.69,2.6,9.11,2885.917204361
84.5,0.0,-0.0022222222222222222,-48.1875,0.0,-30.375,-2.68,2.65,9.14,2885.972305752
