lin_accel_x,gyro_y,mag_z,lin_accel_y,lin_accel_z,mag_x,gyro_z,gyro_x,accel_x,mag_y,accel_y,accel_z,long,lat,time,heading
0.04,0.01,43.6875,-0.01,0.08,-59.0625,0.0011111111111111113,0.0,-0.46,-13.75,-2.28,9.63,-122.675415,45.55033333333334,409.284189492,159.64007680457607
0.0,0.0,43.25,-0.05,0.1,-58.375,0.006666666666666667,-0.008888888888888889,-0.43,-13.75,-2.27,9.61,-122.675415,45.55033333333334,409.340944736,159.68231807765605
0.06,0.014444444444444444,42.5,0.02,0.1,-58.6875,0.015555555555555557,-0.03,-0.45,-13.375,-2.31,9.69,-122.675415,45.55033333333334,409.40472839,159.74113228354156
0.04,-0.013333333333333334,43.6875,-0.02,0.14,-58.375,0.008888888888888889,-0.0022222222222222227,-0.43,-14.1875,-2.24,9.67,-122.675415,45.55033333333334,409.46148577,159.75820984845973
0.05,-0.016666666666666666,42.5,0.03,0.12,-58.375,0.006666666666666667,0.022222222222222227,-0.44,-14.5,-2.31,9.62,-122.675415,45.55033333333334,409.515097098,159.73116363937388
0.02,-0.012222222222222223,42.875,0.02,0.03,-58.75,0.006666666666666667,0.008888888888888889,-0.41,-13.75,-2.26,9.61,-122.675415,45.55033333333334,409.56684123199994,159.76488001033894
0.03,-0.015555555555555557,43.6875,0.01,0.14,-59.0625,0.015555555555555557,0.006666666666666667,-0.44,-14.1875,-2.26,9.57,-122.675415,45.55033333333334,409.615173375,159.78079210182932
0.06,0.005555555555555557,42.5,-0.01,0.13,-59.1875,0.02,-0.016666666666666666,-0.43,-14.1875,-2.26,9.61,-122.675415,45.55033333333334,409.67197664099996,159.7821013701988
0.09,-0.0011111111111111113,42.0625,-0.04,0.22,-59.5,0.01,-0.008888888888888889,-0.39,-14.5,-2.27,9.66,-122.675415,45.55033333333334,409.723414941,159.7608732201628
0.02,0.0033333333333333327,42.5,0.0,0.06,-58.375,-0.014444444444444444,0.007777777777777778,-0.36,-14.1875,-2.3,9.71,-122.675415,45.55033333333334,409.77578642099996,159.7590500883288
0.03,0.01,42.5,0.0,0.0,-58.75,-0.013333333333333334,-0.007777777777777778,-0.45,-14.875,-2.28,9.59,-122.675415,45.55033333333334,409.828091754,159.7194621034182
0.0,0.02,43.25,-0.05,0.18,-58.375,-0.0033333333333333327,-0.03555555555555556,-0.44,-14.1875,-2.27,9.53,-122.675415,45.55033333333334,409.886927787,159.73639962950637
0.03,0.008888888888888889,42.5,-0.06,0.07,-59.1875,0.007777777777777778,-0.011111111111111113,-0.48,-14.5,-2.28,9.64,-122.675415,45.55033333333334,409.938590879,159.727172947961
0.02,-0.024444444444444446,40.875,0.0,0.08,-59.1875,0.021111111111111112,0.021111111111111112,-0.43,-14.1875,-2.35,9.64,-122.675415,45.55033333333334,409.99704868199996,159.7108237410197
0.08,-0.008888888888888889,43.25,-0.01,0.05,-58.75,0.021111111111111112,0.0,-0.45,-13.375,-2.28,9.55,-122.675415,45.55033333333334,410.048870785,159.78266113258817
0.1,0.007777777777777778,42.5,0.01,0.13,-59.1875,0.022222222222222227,-0.024444444444444446,-0.39,-13.375,-2.25,9.62,-122.675415,45.55033333333334,410.092053171,159.83109343028582
0.05,0.042222222222222223,42.5,-0.03,-0.01,-58.75,0.0022222222222222227,-0.05555555555555555,-0.38,-13.375,-2.27,9.65,-122.675415,45.55033333333334,410.15558979300005,159.88922507047008
0.02,0.03555555555555556,42.875,0.05,-0.02,-59.5625,-0.017777777777777778,-0.04444444444444445,-0.43,-12.6875,-2.38,9.75,-122.675415,45.55033333333334,410.314479706,160.13124260449413
0.07,0.017777777777777778,42.0625,-0.02,0.21,-59.1875,-0.021111111111111112,-0.03,-0.48,-13.375,-2.28,9.55,-122.675415,45.55033333333334,410.36615311099996,160.1549687357418
-0.02,0.027777777777777776,41.6875,-0.06,0.08,-58.0625,-0.02,-0.012222222222222223,-0.47,-13.375,-2.39,9.71,-122.675415,45.55033333333334,410.41441150300005,160.16395468684985
0.0,-0.006666666666666667,43.6875,0.02,0.1,-59.1875,-0.013333333333333334,0.005555555555555557,-0.57,-13.375,-2.44,9.58,-122.675415,45.55033333333334,410.49653298,160.22753133240658
0.07,-0.03555555555555556,43.6875,-0.02,0.05,-58.375,0.006666666666666667,0.03222222222222222,-0.52,-14.1875,-2.35,9.5,-122.675415,45.55033333333334,410.56297877800006,160.23131689616775
0.01,-0.004444444444444445,41.6875,-0.06,0.07,-59.1875,0.013333333333333334,0.007777777777777778,-0.46,-13.75,-2.33,9.63,-122.675415,45.55033333333334,410.624870186,160.2430125022452
0.0,-0.02,42.0625,0.05,0.12,-58.75,0.02333333333333333,0.0033333333333333327,-0.5,-15.25,-2.38,9.56,-122.675415,45.55033333333334,410.686666437,160.14947764884423
0.18,0.01,41.25,0.0,0.08,-59.1875,0.02555555555555556,-0.021111111111111112,-0.51,-13.375,-2.28,9.62,-122.675415,45.55033333333334,410.74335480599996,160.1938815007863
0.04,-0.0033333333333333327,42.875,0.0,0.1,-58.375,0.013333333333333334,0.0022222222222222227,-0.35,-13.375,-2.33,9.66,-122.675415,45.55033333333334,410.796576185,160.24389596070716
0.04,0.005555555555555557,42.875,-0.02,0.15,-58.6875,-0.016666666666666666,-0.0022222222222222227,-0.48,-14.1875,-2.35,9.61,-122.675415,45.55033333333334,410.85335221,160.2356117416624
-0.02,0.007777777777777778,42.0625,-0.07,0.08,-58.375,-0.011111111111111113,0.005555555555555557,-0.47,-13.375,-2.33,9.65,-122.675415,45.55033333333334,410.913404966,160.2724384444103
0.07,0.006666666666666667,42.875,-0.02,0.15,-58.75,0.007777777777777778,-0.011111111111111113,-0.55,-13.75,-2.44,9.54,-122.675415,45.55033333333334,410.97023161699997,160.28475735422478
0.04,0.017777777777777778,42.0625,-0.03,0.17,-58.375,-0.005555555555555557,-0.01,-0.52,-13.375,-2.37,9.69,-122.675415,45.55033333333334,411.03870002599996,160.3276911855214
0.03,0.011111111111111113,42.5,0.01,0.0,-58.75,0.007777777777777778,-0.01888888888888889,-0.48,-13.375,-2.39,9.67,-122.675415,45.55033333333334,411.08948129199996,160.36198817265654
0.03,-0.015555555555555557,42.0625,-0.08,0.09,-59.0625,0.006666666666666667,0.01,-0.49,-14.875,-2.34,9.5,-122.675415,45.55033333333334,411.165991759,160.2765096970656
0.06,-0.005555555555555557,42.875,0.01,0.11,-59.1875,0.0033333333333333327,0.022222222222222227,-0.5,-13.375,-2.4,9.56,-122.675415,45.55033333333334,411.207431171,160.3156992566546
0.03,-0.007777777777777778,42.875,0.0,0.03,-59.1875,-0.006666666666666667,0.006666666666666667,-0.45,-13.375,-2.34,9.63,-122.67541333333332,45.550335,411.27043508199995,160.37723392249353
0.1,-0.008888888888888889,41.6875,0.02,0.15,-58.375,0.0022222222222222227,0.007777777777777778,-0.49,-13.75,-2.33,9.54,-122.67541333333332,45.550335,411.34754893699994,160.37770708983996
0.0,-0.004444444444444445,41.6875,-0.05,0.14,-58.375,-0.0011111111111111113,0.014444444444444444,-0.46,-13.375,-2.33,9.62,-122.67541333333332,45.550335,411.40696393,160.40410953792392
0.09,-0.015555555555555557,42.0625,-0.01,0.13,-59.1875,0.005555555555555557,0.02555555555555556,-0.5,-13.75,-2.37,9.63,-122.67541333333332,45.550335,411.483986899,160.40924973421016
0.05,0.011111111111111113,41.25,0.0,0.07,-59.1875,0.0011111111111111113,-0.004444444444444445,-0.42,-13.75,-2.3,9.59,-122.67541333333332,45.550335,411.535752282,160.4053701692675
0.06,0.013333333333333334,42.875,0.0,0.16,-59.1875,-0.004444444444444445,-0.022222222222222227,-0.46,-14.5,-2.34,9.62,-122.67541333333332,45.550335,411.601231775,160.36958908113496
